index,artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,cos,percentile
41911,All Sons & Daughters,6uwFHAo6y1bxMrY0FezX7H,Great Are You Lord,0.591,0.476,296343,0.35100000000000003,0.0,9,0.0816,-8.995,1,0.0323,143.878,3,0.0627,29,3.160663798272176,0.5534007331838393
3006,Nas,6pwwoJIFZbMzPvonOFdmH2,The World is Yours feat. National Symphony Orchestra - (Live),0.22,0.392,364281,0.8909999999999999,0.0,2,0.703,-3.868,1,0.402,178.86700000000005,4,0.325,33,9.358493683710893,0.37719170691014287
34169,Chris Brown,5mke8DJfEmeRcihtVVDMyJ,With You,0.152,0.66,252547,0.607,0.0,3,0.135,-7.2120000000000015,1,0.0777,86.015,4,0.6579999999999999,27,59.37502099658979,0.8586669523889701
89146,Damian Marley,5vldvblzbSxYORGztFyYiV,Welcome To Jamrock,0.0194,0.8009999999999999,213200,0.6659999999999999,0.0,7,0.281,-6.558,1,0.335,76.638,4,0.759,0,60.61369885522505,0.8480595118740577
69823,DMX,6qdsY8C2vwfgnUsxCdab0I,X Gon' Give It To Ya,0.0254,0.76,219040,0.867,0.0,10,0.0699,-4.292,0,0.15,94.987,4,0.64,20,32.496034630917684,0.9116811951355778
39439,Imagine Dragons,75qMlHG85EEhrXPKhkf5FI,Thunder,0.007140000000000001,0.602,187987,0.8170000000000001,0.109,0,0.122,-4.444,1,0.0494,167.979,4,0.236,21,64.0450285512618,0.9025278770577746
65718,Kodaline,35lPlu8ihWPCMi43L2qK6l,All I Want,0.113,0.189,306600,0.4270000000000001,0.0923,0,0.058,-9.08,1,0.0449,187.212,3,0.158,32,17.115013702178217,0.22917734936439543
3019,BTS,0YguyyCOTyujhSDXWyB4W3,Go Go - Japanese ver.,0.222,0.8370000000000001,237307,0.69,0.0,10,0.0833,-4.705,0,0.08800000000000001,136.07,4,0.847,52,55.93261999396719,0.7395513649617719
28455,"Earth, Wind & Fire",3mbXR77q1sq2MdeqdPHwJs,Let's Groove,0.138,0.868,339307,0.637,1.16e-05,11,0.0446,-9.06,0,0.064,125.041,4,0.921,48,80.10854943015438,0.9065381936738021
59966,R. Kelly,6f2IjBYCZdG93pLBr8domO,Step in the Name of Love - Remix - Radio Edit,0.246,0.743,309427,0.588,0.0,4,0.304,-5.7879999999999985,1,0.0624,94.99,4,0.8029999999999999,21,59.72721739834181,0.8726341810612033
95524,Tom Petty and the Heartbreakers,38P9y0FvNHFBdBQZvjc0Dp,Mary Jane's Last Dance,0.0487,0.422,271653,0.7,0.0,2,0.109,-7.149,1,0.0555,168.207,4,0.616,50,6.3437209921717335,0.9129899053289761
59921,Foster The People,0qcVzQKAVn7kYWJKRtXedl,Pumped Up Kicks,0.177,0.759,238147,0.62,0.139,5,0.08900000000000001,-7.584,0,0.0293,128.151,4,0.935,29,83.14144701977845,0.5884833502980951
129006,Pentatonix,45nLgLtSiGCTtMFTsN6KeA,"Mary, Did You Know?",0.269,0.512,201067,0.327,0.0,11,0.0953,-8.027000000000001,0,0.0264,105.035,4,0.17,26,15.782551266251584,0.7663378309085204
6729,Dave Matthews Band,3ivJue8PxtUASeXsFpKhpH,Crash into Me,0.101,0.54,313613,0.657,0.0181,4,0.121,-11.132,1,0.0373,101.014,4,0.5379999999999999,40,74.88319505321078,0.9876476125605566
11837,Al Green,3CGXiuNWPWEyUnTxE8L270,Let's Stay Together,0.569,0.644,442485,0.496,0.285,5,0.14400000000000002,-10.333,1,0.056,101.569,4,0.604,34,38.36266731789674,0.9530471518333422
23760,Jauz,71k5Xn5BSv4jBYQtYGjzzA,Feel The Volume - Ben Nicky Remix,0.0303,0.662,192000,0.941,0.489,5,0.275,-3.527,1,0.0551,150.007,4,0.118,31,32.53022609206186,0.535055830648309
85055,First Aid Kit,4XNGdIV2aQNPYg1aPbO0SV,Stay Gold,0.262,0.514,251000,0.74,4.7e-06,0,0.126,-4.377,1,0.0398,95.959,4,0.377,26,21.51171156504409,0.826270635145374
38084,Logic,52bEpsfjhc5Cm98PAcFdRI,1-800-273-8255,0.58,0.621,250173,0.58,1.12e-06,5,0.191,-7.702000000000001,0,0.043,100.047,4,0.377,20,10.399892207500498,0.9806907846903867
7683,Camila Cabello,4ptonNXwbPtpiPX062ruaM,Havana - No Rap Version,0.225,0.75,174747,0.495,3.13e-05,2,0.149,-5.101,1,0.0336,106.019,4,0.439,39,35.24283058280648,0.9000711754666585
109821,Sigala,1qp0ptMXNg9hqLH8sk7cc2,Sweet Lovin' - Radio Edit,0.203,0.68,202213,0.85,1.88e-06,10,0.339,-2.785,1,0.0661,124.941,4,0.7120000000000001,66,87.41263017887425,0.9578993288076961
69745,Broken Bells,7Ia1VqvOwS6kxryF92xvFw,The High Road,0.0682,0.61,232200,0.637,6.12e-06,0,0.284,-6.574,1,0.0238,79.955,4,0.609,27,15.035349289974155,0.9530165387294032
129920,Aaron Carter,0Gee5mDV8DiP4YNSQT2gOK,Sooner Or Later,0.12,0.737,212564,0.731,1.29e-05,5,0.0731,-6.787000000000001,0,0.0358,111.955,4,0.435,55,64.25190655253796,0.9699455852077482
9772,Ginuwine,3gM8jkNVAeZax2boZhMhcx,Pony,0.00196,0.755,250773,0.6559999999999999,0.0735,8,0.114,-7.716,0,0.0904,142.04399999999995,4,0.969,36,57.843536743251875,0.6310049516695622
87805,Boyz II Men,0suOPZP4R7VHINwxaCToW6,End Of The Road,0.14300000000000002,0.636,351973,0.421,0.0,3,0.0586,-9.849,1,0.0241,149.673,3,0.484,13,46.12858674583915,0.8777312628670703
40500,Sam Hunt,65acRsEmSY2FYkdEoT9dqV,House Party,0.127,0.753,190525,0.8590000000000001,0.0,8,0.0225,-5.276,1,0.0481,103.985,4,0.889,20,52.000962508138926,0.8774480916556332
93860,Alicia Keys,2eXVTQd5Udi5PJLaxN3wGx,If I Ain't Got You - Kanye West Radio Mix #1,0.266,0.539,227733,0.462,0.00376,1,0.049,-10.945,0,0.277,148.81799999999996,3,0.5870000000000001,34,69.99957404612665,0.538300819665858
64439,Zac Brown Band,0KyrdaqpCFhj3TNkQitYdX,Chicken Fried,0.647,0.564,236907,0.718,0.0,6,0.098,-4.235,1,0.0416,169.84799999999996,4,0.8,20,16.180998754192927,0.6033307057085786
53089,Jimmy Wayne,7Jan7EtFZqtpryqsaQHxQy,I Love You This Much,0.293,0.5870000000000001,241667,0.386,0.0,2,0.152,-10.043,1,0.0271,76.008,4,0.269,7,29.06090600235099,0.6358418220919465
18168,Kings of Leon,7D04SIiYAZq6Kpc4qFhBKY,Use Somebody,0.00313,0.266,231093,0.7559999999999999,0.000192,0,0.154,-5.386,1,0.0464,137.102,4,0.16,39,57.71898592258877,0.6055807688481054
56778,Florida Georgia Line,0Z5eI7fcEmMy7bhgiepYca,Cruise,0.016,0.464,213133,0.946,0.0,10,0.0505,-3.131,1,0.035,148.054,4,0.9,13,26.387341054467807,0.7785448061042529
80602,Macy Gray,0fb2p5wZZxd5d3TnrU3aGO,I Try,0.304,0.5589999999999999,238067,0.637,0.000195,2,0.0783,-7.495,1,0.0321,152.885,4,0.782,28,41.84404801111417,0.4829829408478299
126979,Frank Sinatra,4QMZUqcREVkCdm6NH8NyQD,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),0.897,0.625,155413,0.473,0.0,2,0.363,-5.242000000000001,1,0.0536,142.99,4,0.807,31,12.325578969626417,0.9716905321322792
44470,Ms. Lauryn Hill,4LREhK0iuGcEE8grndXrgL,Ex-Factor,0.118,0.593,326533,0.619,0.0,3,0.484,-9.003,0,0.0976,80.02,4,0.6679999999999999,23,15.051756631154696,0.8750602695483802
116087,The Cars,5qLwEAZvfYx1hzj1Q3LRXW,Drive - Symphonic Version,0.203,0.241,237971,0.35600000000000004,0.00197,6,0.107,-7.782,1,0.0298,110.968,5,0.0728,34,56.25985280478551,0.8225894093966922
56778,Florida Georgia Line,0Z5eI7fcEmMy7bhgiepYca,Cruise,0.016,0.464,213133,0.946,0.0,10,0.0505,-3.131,1,0.035,148.054,4,0.9,13,10.472140322110706,0.8132677192472237
118007,"Earth, Wind & Fire",7Cuk8jsPPoNYQWXK9XRFvG,September,0.165,0.6940000000000001,215080,0.831,0.000892,9,0.25,-7.2879999999999985,1,0.0301,125.901,4,0.98,79,34.962455413663754,0.9953697680292048
117787,Dua Lipa,3R91ySVDSOjcxpW5PZF394,Hotter Than Hell,0.011,0.532,187958,0.868,0.0,3,0.0584,-4.23,0,0.0908,110.127,4,0.529,58,22.15853395154647,0.832079471617826
23048,Imagine Dragons,0Xk3DdaHhugSv35OS6yBOj,Believer,0.0556,0.77,204405,0.701,0.0,10,0.0925,-7.46,0,0.136,124.947,4,0.732,33,30.273757346518508,0.8821089367303674
41911,All Sons & Daughters,6uwFHAo6y1bxMrY0FezX7H,Great Are You Lord,0.591,0.476,296343,0.35100000000000003,0.0,9,0.0816,-8.995,1,0.0323,143.878,3,0.0627,29,3.160663798272176,0.5534007331838393
